seed,対象,チェック,特殊能力,カテゴリ,player_type
202607090575,投手,四球・抜け球・乱調と低コントロール,クイックF、ケガしにくさD、ノビE、回復C、対ピンチD、対左打者D、打たれ強さE、投手存在感、抜け球、送球D,架空球団用,本格派
202607090579,投手,先発用特殊能力と先発適正,クイックD、ケガしにくさE、スロースターター、ノビC、回復E、変化球中心、対ピンチA、対左打者D、尻上がり、打たれ強さD、送球B,架空球団用,技巧派
202607090583,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさD、ノビC、四球、回復D、対ピンチD、対左打者C、打たれ強さD、短気、送球E,架空球団用,技巧派
202607090589,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビD、低め○、四球、回復D、変化球中心、対ピンチE、対左打者D、尻上がり、打たれ強さD、根性、牽制○、送球D,架空球団用,本格派
202607090592,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ノビC、一発、全開、回復C、対ピンチC、対左打者C、打たれ強さD、抜け球、負け運、送球D,架空球団用,速球派
202607090617,投手,ノビ系と球速,クイックB、ケガしにくさB、ノビE、フライボールピッチャー、回復D、対ピンチB、対左打者C、打たれ強さD、負け運、送球B、逃げ球,架空球団用,技巧派
202607090630,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさD、ノビA、人気者、四球、回復C、対ピンチD、対左打者B、打たれ強さE、投手存在感、投球位置左、緊急登板○、送球F、重い球,架空球団用,速球派
202607090636,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ナチュラルシュート、ノビD、回復E、対ピンチD、対左打者C、打たれ強さD、緩急○、軽い球、送球D,架空球団用,本格派
202607090657,投手,四球・抜け球・乱調と低コントロール,キレ○、クイックE、ケガしにくさD、ノビD、四球、回復D、対ピンチC、対左打者B、打たれ強さD、送球C,架空球団用,技巧派
202607090659,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビE、四球、回復D、対ピンチC、対左打者D、打たれ強さD、投打躍動、真っスラ、送球C,架空球団用,技巧派
202607090667,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさD、ジャイロボール、ノビC、回復D、対ピンチD、対左打者C、打たれ強さD、立ち上がり○、軽い球、送球B、逃げ球,架空球団用,スタミナ型
202607090674,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさE、ノビD、乱調、回復D、対ピンチC、対左打者C、打たれ強さC、送球D,架空球団用,技巧派
202607090677,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさE、ノビC、力配分、回またぎ○、回復D、対ピンチD、対左打者D、打たれ強さE、抜け球、立ち上がり○、送球E,架空球団用,変化球派
202607090679,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさG、ノビC、回復D、寸前、対ピンチC、対左打者D、打たれ強さC、火消し、軽い球、送球D,架空球団用,技巧派
202607090683,投手,四球・抜け球・乱調と低コントロール,クイックF、ケガしにくさD、ノビD、四球、回復D、対ピンチD、対左打者D、打たれ強さE、送球D,架空球団用,スタミナ型
202607090684,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさC、ノビC、回復C、奪三振、対ピンチE、対左打者D、打たれ強さD、投手存在感、抜け球、緩急○、軽い球、送球C,架空球団用,速球派
202607090694,投手,四球・抜け球・乱調と低コントロール,クイックB、ケガしにくさD、ノビD、回復C、寸前、対ピンチD、対左打者D、打たれ強さE、抜け球、送球D、速球中心,架空球団用,スタミナ型
202607090721,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ノビD、回復D、対ピンチD、対左打者D、打たれ強さD、緩急○、軽い球、送球D,架空球団用,本格派
202607090740,投手,ノビ系と球速,クイックC、クロスファイヤー、ケガしにくさD、ノビC、低め○、力配分、回復E、対ピンチA、対左打者C、打たれ強さD、根性、火消し、送球D,架空球団用,技巧派
202607090744,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビC、回復F、変化球中心、対ピンチD、対左打者G、打たれ強さD、打球反応○、抜け球、緊急登板○、送球D、闘志,架空球団用,速球派
202607090745,投手,ノビ系と球速,クイックD、ケガしにくさD、ノビD、回復C、対ピンチF、対左打者D、打たれ強さD、球持ち○、送球E,架空球団用,本格派
202607090746,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさD、ノビG、乱調、勝ち運、回復E、対ピンチD、対左打者D、打たれ強さD、送球C,架空球団用,スタミナ型
202607090749,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさC、ノビE、回復D、対ピンチD、対左打者C、打たれ強さD、打球反応○、抜け球、火消し、真っスラ、送球D,架空球団用,変化球派
202607090751,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビD、四球、回復D、対ピンチG、対左打者E、打たれ強さD、投手調子安定、抜け球、送球D,架空球団用,本格派
202607090753,投手,四球・抜け球・乱調と低コントロール,クイックG、ケガしにくさD、ノビD、フライボールピッチャー、回またぎ○、回復C、対ピンチD、対左打者D、打たれ強さC、打球反応○、投球位置左、抜け球、荒れ球、送球E、逃げ球,架空球団用,スタミナ型
202607090769,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさE、ノビA、一発、回復A、対ピンチD、対左打者A、打たれ強さE、真っスラ、負け運、送球D、闘志,架空球団用,速球派
202607090770,投手,四球・抜け球・乱調と低コントロール,クイックE、ケガしにくさE、ノビD、四球、回復C、対ピンチC、対左打者D、打たれ強さD、負け運、送球C,架空球団用,変化球派
202607090781,投手,四球・抜け球・乱調と低コントロール,クイックD、ケガしにくさD、ノビE、乱調、回復D、対ピンチD、対左打者A、打たれ強さD、立ち上がり○、要所○、送球D,架空球団用,技巧派
202607090786,投手,一発・軽い球と球速・総変化量,クイックE、ケガしにくさE、ナチュラルシュート、ノビC、一発、回復C、対ピンチD、対左打者D、打たれ強さE、送球D、速球中心,架空球団用,速球派
202607090789,投手,ノビ系と球速,キレ○、クイックD、ケガしにくさD、ノビD、回復D、対ピンチD、対左打者B、打たれ強さF、根性、真っスラ、送球B、闘志,架空球団用,変化球派
202607090793,投手,四球・抜け球・乱調と低コントロール,クイックC、ケガしにくさC、ストライク先行、ノビE、乱調、回復E、対ピンチE、対ランナー、対左打者C、打たれ強さD、投手調子極端、球速安定、立ち上がり○、送球C、逃げ球,架空球団用,技巧派
202607090795,投手,一発・軽い球と球速・総変化量,クイックD、ケガしにくさD、ジャイロボール、ノビB、回またぎ○、回復D、対ピンチD、対左打者B、打たれ強さD、緊急登板○、軽い球、送球D,架空球団用,変化球派
202607090800,投手,四球・抜け球・乱調と低コントロール,キレ○、クイックC、ケガしにくさE、ノビD、回復D、対ピンチC、対ランナー×、対左打者D、打たれ強さD、抜け球、短気、送球D,架空球団用,スタミナ型
202607090811,投手,先発用特殊能力と先発適正,クイックG、ケガしにくさD、ノビB、回復D、対ピンチE、対左打者B、尻上がり、打たれ強さD、要所○、送球C,架空球団用,本格派
