データ,分布,集計軸,値,人数,割合%
生成,総変化量,先発適正=○,9,329,10.54
生成,総変化量,先発適正=○,10,157,5.03
生成,総変化量,先発適正=○,11,61,1.95
生成,総変化量,先発適正=○,12,30,0.96
生成,総変化量,先発適正=○,13,13,0.42
生成,総変化量,先発適正=○,14,5,0.16
生成,総変化量,先発適正=○,15,1,0.03
生成,総変化量サマリー,先発適正=○,平均,3122,6.759
生成,総変化量,先発適正=◎,1,10,0.14
生成,総変化量,先発適正=◎,2,81,1.14
生成,総変化量,先発適正=◎,3,181,2.54
生成,総変化量,先発適正=◎,4,538,7.56
生成,総変化量,先発適正=◎,5,875,12.29
生成,総変化量,先発適正=◎,6,1109,15.58
生成,総変化量,先発適正=◎,7,1376,19.33
生成,総変化量,先発適正=◎,8,1312,18.43
生成,総変化量,先発適正=◎,9,919,12.91
生成,総変化量,先発適正=◎,10,455,6.39
生成,総変化量,先発適正=◎,11,156,2.19
生成,総変化量,先発適正=◎,12,66,0.93
生成,総変化量,先発適正=◎,13,32,0.45
生成,総変化量,先発適正=◎,14,7,0.1
生成,総変化量,先発適正=◎,15,1,0.01
生成,総変化量サマリー,先発適正=◎,平均,7118,7.008
生成,総変化量,中継ぎ適正=-,1,6,0.15
生成,総変化量,中継ぎ適正=-,2,44,1.11
生成,総変化量,中継ぎ適正=-,3,98,2.47
生成,総変化量,中継ぎ適正=-,4,306,7.73
生成,総変化量,中継ぎ適正=-,5,483,12.2
生成,総変化量,中継ぎ適正=-,6,619,15.63
生成,総変化量,中継ぎ適正=-,7,756,19.09
生成,総変化量,中継ぎ適正=-,8,741,18.71
生成,総変化量,中継ぎ適正=-,9,500,12.63
生成,総変化量,中継ぎ適正=-,10,266,6.72
生成,総変化量,中継ぎ適正=-,11,82,2.07
生成,総変化量,中継ぎ適正=-,12,37,0.93
生成,総変化量,中継ぎ適正=-,13,16,0.4
生成,総変化量,中継ぎ適正=-,14,5,0.13
生成,総変化量,中継ぎ適正=-,15,1,0.03
生成,総変化量サマリー,中継ぎ適正=-,平均,3960,7.01
生成,総変化量,中継ぎ適正=○,1,4,0.13
生成,総変化量,中継ぎ適正=○,2,37,1.17
生成,総変化量,中継ぎ適正=○,3,83,2.63
生成,総変化量,中継ぎ適正=○,4,232,7.35
生成,総変化量,中継ぎ適正=○,5,392,12.41
生成,総変化量,中継ぎ適正=○,6,490,15.52
生成,総変化量,中継ぎ適正=○,7,620,19.63
生成,総変化量,中継ぎ適正=○,8,571,18.08
生成,総変化量,中継ぎ適正=○,9,419,13.27
生成,総変化量,中継ぎ適正=○,10,189,5.98
生成,総変化量,中継ぎ適正=○,11,74,2.34
生成,総変化量,中継ぎ適正=○,12,29,0.92
生成,総変化量,中継ぎ適正=○,13,16,0.51
生成,総変化量,中継ぎ適正=○,14,2,0.06
生成,総変化量サマリー,中継ぎ適正=○,平均,3158,7.005
生成,総変化量,中継ぎ適正=◎,1,22,0.28
生成,総変化量,中継ぎ適正=◎,2,192,2.44
生成,総変化量,中継ぎ適正=◎,3,255,3.24
生成,総変化量,中継ぎ適正=◎,4,706,8.96
生成,総変化量,中継ぎ適正=◎,5,957,12.14
生成,総変化量,中継ぎ適正=◎,6,1225,15.54
生成,総変化量,中継ぎ適正=◎,7,1521,19.3
生成,総変化量,中継ぎ適正=◎,8,1418,17.99
生成,総変化量,中継ぎ適正=◎,9,856,10.86
生成,総変化量,中継ぎ適正=◎,10,433,5.49
生成,総変化量,中継ぎ適正=◎,11,166,2.11
生成,総変化量,中継ぎ適正=◎,12,87,1.1
生成,総変化量,中継ぎ適正=◎,13,33,0.42
生成,総変化量,中継ぎ適正=◎,14,8,0.1
生成,総変化量,中継ぎ適正=◎,15,3,0.04
生成,総変化量サマリー,中継ぎ適正=◎,平均,7882,6.802
生成,総変化量,抑え適正=-,1,27,0.22
生成,総変化量,抑え適正=-,2,218,1.81
生成,総変化量,抑え適正=-,3,341,2.82
生成,総変化量,抑え適正=-,4,1005,8.33
生成,総変化量,抑え適正=-,5,1468,12.16
生成,総変化量,抑え適正=-,6,1909,15.81
生成,総変化量,抑え適正=-,7,2357,19.52
生成,総変化量,抑え適正=-,8,2180,18.06
生成,総変化量,抑え適正=-,9,1427,11.82
生成,総変化量,抑え適正=-,10,706,5.85
生成,総変化量,抑え適正=-,11,253,2.1
生成,総変化量,抑え適正=-,12,119,0.99
生成,総変化量,抑え適正=-,13,49,0.41
生成,総変化量,抑え適正=-,14,11,0.09
生成,総変化量,抑え適正=-,15,2,0.02
生成,総変化量サマリー,抑え適正=-,平均,12072,6.89
生成,総変化量,抑え適正=○,1,3,0.26
生成,総変化量,抑え適正=○,2,36,3.14
生成,総変化量,抑え適正=○,3,47,4.1
生成,総変化量,抑え適正=○,4,97,8.46
生成,総変化量,抑え適正=○,5,146,12.73
生成,総変化量,抑え適正=○,6,180,15.69
生成,総変化量,抑え適正=○,7,208,18.13
生成,総変化量,抑え適正=○,8,207,18.05
生成,総変化量,抑え適正=○,9,123,10.72
生成,総変化量,抑え適正=○,10,58,5.06
生成,総変化量,抑え適正=○,11,26,2.27
生成,総変化量,抑え適正=○,12,12,1.05
生成,総変化量,抑え適正=○,13,4,0.35
生成,総変化量サマリー,抑え適正=○,平均,1147,6.709
生成,総変化量,抑え適正=◎,1,2,0.11
生成,総変化量,抑え適正=◎,2,19,1.07
生成,総変化量,抑え適正=◎,3,48,2.7
生成,総変化量,抑え適正=◎,4,142,7.97
生成,総変化量,抑え適正=◎,5,218,12.24
生成,総変化量,抑え適正=◎,6,245,13.76
生成,総変化量,抑え適正=◎,7,332,18.64
生成,総変化量,抑え適正=◎,8,343,19.26
生成,総変化量,抑え適正=◎,9,225,12.63
生成,総変化量,抑え適正=◎,10,124,6.96
生成,総変化量,抑え適正=◎,11,43,2.41
生成,総変化量,抑え適正=◎,12,22,1.24
生成,総変化量,抑え適正=◎,13,12,0.67
生成,総変化量,抑え適正=◎,14,4,0.22
生成,総変化量,抑え適正=◎,15,2,0.11
生成,総変化量サマリー,抑え適正=◎,平均,1781,7.088
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,1,7,0.91
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,2,52,6.75
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,3,53,6.88
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,4,150,19.48
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,5,145,18.83
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,6,125,16.23
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,7,115,14.94
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,8,79,10.26
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,9,33,4.29
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,10,7,0.91
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,11,3,0.39
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,12,1,0.13
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え-,平均,770,5.447
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,1,2,0.5
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,2,32,7.96
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,3,36,8.96
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,4,62,15.42
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,5,88,21.89
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,6,71,17.66
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,7,57,14.18
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,8,30,7.46
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,9,15,3.73
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,10,7,1.74
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,11,2,0.5
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え○,平均,402,5.358
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,1,1,0.29
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,2,14,4.12
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,3,25,7.35
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,4,64,18.82
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,5,79,23.24
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,6,52,15.29
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,7,52,15.29
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,8,31,9.12
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,9,15,4.41
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,10,5,1.47
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,11,1,0.29
生成,総変化量,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,12,1,0.29
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発- / 中継ぎ◎ / 抑え◎,平均,340,5.55
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,1,8,0.85
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,2,59,6.3
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,3,69,7.36
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,4,161,17.18
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,5,172,18.36
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,6,175,18.68
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,7,148,15.8
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,8,85,9.07
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,9,41,4.38
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,10,16,1.71
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,11,2,0.21
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,13,1,0.11
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え-,平均,937,5.514
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,1,1,1.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,2,2,2.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,3,9,9.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,4,14,14.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,5,19,19.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,6,17,17.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,7,22,22.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,8,8,8.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,9,4,4.0
生成,総変化量,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,10,4,4.0
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発○ / 中継ぎ◎ / 抑え◎,平均,100,5.79
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,1,6,0.44
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,2,39,2.87
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,3,77,5.67
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,4,207,15.25
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,5,286,21.08
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,6,253,18.64
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,7,213,15.7
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,8,165,12.16
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,9,76,5.6
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,10,26,1.92
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,11,6,0.44
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,12,3,0.22
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ- / 抑え-,平均,1357,5.857
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,1,4,0.37
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,2,32,2.93
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,3,69,6.31
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,4,160,14.63
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,5,238,21.76
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,6,190,17.37
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,7,190,17.37
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,8,117,10.69
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,9,67,6.12
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,10,21,1.92
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,11,5,0.46
生成,総変化量,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,13,1,0.09
生成,総変化量サマリー,カテゴリ=ドラフト候補用 / 先発◎ / 中継ぎ○ / 抑え-,平均,1094,5.843
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,1,1,0.13
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,2,3,0.39
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,3,6,0.79
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,4,17,2.23
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,5,28,3.67
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,6,81,10.63
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,7,159,20.87
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,8,177,23.23
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,9,130,17.06
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,10,89,11.68
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,11,38,4.99
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,12,26,3.41
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,13,5,0.66
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,14,1,0.13
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,15,1,0.13
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え-,平均,762,8.047
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,2,1,0.29
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,3,4,1.15
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,4,6,1.72
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,5,18,5.16
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,6,46,13.18
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,7,58,16.62
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,8,87,24.93
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,9,58,16.62
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,10,33,9.46
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,11,23,6.59
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,12,11,3.15
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,13,4,1.15
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え○,平均,349,8.009
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,2,2,0.33
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,3,1,0.17
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,4,20,3.3
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,5,32,5.28
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,6,70,11.55
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,7,114,18.81
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,8,141,23.27
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,9,105,17.33
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,10,67,11.06
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,11,28,4.62
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,12,13,2.15
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,13,10,1.65
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,14,2,0.33
生成,総変化量,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,15,1,0.17
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発- / 中継ぎ◎ / 抑え◎,平均,606,7.995
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,2,1,0.13
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,3,7,0.92
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,4,17,2.23
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,5,37,4.86
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,6,89,11.68
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,7,166,21.78
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,8,168,22.05
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,9,133,17.45
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,10,69,9.06
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,11,40,5.25
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,12,23,3.02
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,13,9,1.18
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,14,3,0.39
生成,総変化量サマリー,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え-,平均,762,7.976
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,3,6,1.95
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,4,7,2.28
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,5,11,3.58
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,6,37,12.05
生成,総変化量,カテゴリ=助っ人外国人用 / 先発○ / 中継ぎ◎ / 抑え◎,7,57,18.57
