source,team,name,direction_code,direction,slot,pitch_type,movement,source_class,status
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川颯,4,シンカー方向,1,カーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,2,カーブ方向,1,シンカー,4,v24,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,5,シュート方向,1,スライダー,2,v521,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,伊 勢,5,シュート方向,2,カットボール,1,v521,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,1,スライダー方向,1,シンキングツーシーム,1,v11,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,2,カーブ方向,1,シンキングスプリット,5,v25,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,山﨑康,4,シンカー方向,1,カーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,ルイーズ,2,カーブ方向,1,サークルチェンジ,3,v23,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,ルイーズ,4,シンカー方向,1,パワーカーブ,3,v43,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,2,カーブ方向,1,ファストチェンジ,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,5,シュート方向,1,スライダー,2,v524,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,5,シュート方向,2,unknown,4,v524,unknown
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,1,スライダー方向,1,シンキングツーシーム,1,v11,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,5,シュート方向,1,カットボール,2,v52,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,4,シンカー方向,1,パワーカーブ,2,v42,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,1,スライダー方向,1,カットボール,2,v12,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,2,カーブ方向,1,スローカーブ,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,3,フォーク方向,1,カットボール,3,v33,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,2,カーブ方向,1,シンカー,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,3,フォーク方向,1,シンカー,5,v35,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,5,シュート方向,1,スライダー,3,v53,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,2,カーブ方向,1,シンキングスプリット,3,v23,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,3,フォーク方向,1,フォーク,5,v35,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,4,シンカー方向,1,ナックルカーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,森 原,3,フォーク方向,1,スライダー,3,v33,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,森 原,5,シュート方向,1,スライダー,2,v52,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,3,フォーク方向,1,フォーク,2,v32,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,5,シュート方向,1,カットボール,3,v53,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,4,シンカー方向,1,カーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,2,カーブ方向,1,シンカー,2,v22,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,3,フォーク方向,1,シンカー,3,v33,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,5,シュート方向,1,カットボール,1,v51,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,藤 浪,3,フォーク方向,1,ツーシーム,3,v33,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,藤 浪,5,シュート方向,1,スライダー,3,v53,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,3,フォーク方向,1,スライダー,2,v32,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,5,シュート方向,1,スライダー,4,v54,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,4,シンカー方向,1,カーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,1,スライダー方向,1,カットボール,3,v13,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,2,カーブ方向,1,スローカーブ,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,4,シンカー方向,1,サークルチェンジ,4,v44,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 口,1,スライダー方向,1,シンキングツーシーム,2,v12,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 口,3,フォーク方向,1,シンキングツーシーム,2,v32,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 口,4,シンカー方向,1,ドロップカーブ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,深 沢,2,カーブ方向,1,シンキングスプリット,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,深 沢,5,シュート方向,1,スライダー,2,v52,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,深 沢,4,シンカー方向,1,カーブ,3,v43,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,武 田,1,スライダー方向,1,スライダー,2,v12,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,武 田,2,カーブ方向,1,スローカーブ,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,武 田,4,シンカー方向,1,サークルチェンジ,1,v41,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,松本凌,2,カーブ方向,1,シンキングスプリット,2,v22,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,松本凌,5,シュート方向,1,スライダー,3,v531,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,松本凌,5,シュート方向,2,カットボール,1,v531,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,若 松,3,フォーク方向,1,スライダー,3,v333,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,若 松,3,フォーク方向,2,フォーク,3,v333,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,橋 本,3,フォーク方向,1,フォーク,3,v33,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,橋 本,4,シンカー方向,1,ドロップカーブ,3,v43,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,佐々木,1,スライダー方向,1,シュート,2,v12,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,佐々木,2,カーブ方向,1,シンカー,1,v21,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,佐々木,4,シンカー方向,1,スラーブ,4,v44,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,岩 田,1,スライダー方向,1,スライダー,3,v131,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,岩 田,1,スライダー方向,2,unknown,1,v131,unknown
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,岩 田,5,シュート方向,1,シンキングツーシーム,1,v51,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,コックス,2,カーブ方向,1,ドロップカーブ,3,v233,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,コックス,2,カーブ方向,2,unknown,3,v233,unknown
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,コックス,3,フォーク方向,1,ドロップカーブ,1,v31,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,マルセリーノ,2,カーブ方向,1,シンキングスプリット,3,v23,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,マルセリーノ,3,フォーク方向,1,スライダー,5,v35,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,堀 岡,3,フォーク方向,1,フォーク,5,v351,ok
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,堀 岡,3,フォーク方向,2,スライダー,1,v351,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,宮 城,2,カーブ方向,1,カーブ,5,v253,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,宮 城,2,カーブ方向,2,スローカーブ,3,v253,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,宮 城,3,フォーク方向,1,カーブ,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,九 里,1,スライダー方向,1,シュート,2,v12,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,九 里,2,カーブ方向,1,シンキングスプリット,5,v25,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,九 里,5,シュート方向,1,スライダー,2,v52,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,曽 谷,1,スライダー方向,1,スライダー,1,v11,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,曽 谷,2,カーブ方向,1,スラーブ,5,v25,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,曽 谷,4,シンカー方向,1,シンキングスプリット,3,v43,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,髙 島,2,カーブ方向,1,シンカー,3,v23,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,髙 島,5,シュート方向,1,カットボール,2,v52,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,髙 島,4,シンカー方向,1,カーブ,1,v41,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,エスピノーザ,3,フォーク方向,1,スライダー,2,v32,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,エスピノーザ,4,シンカー方向,1,ナックルカーブ,5,v45,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,寺 西,3,フォーク方向,1,カットボール,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,寺 西,5,シュート方向,1,カットボール,3,v53,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,寺 西,4,シンカー方向,1,カーブ,1,v41,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,平 野,3,フォーク方向,1,フォーク,4,v34,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,平 野,5,シュート方向,1,スライダー,1,v51,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,古田島,2,カーブ方向,1,シンカー,3,v23,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,古田島,5,シュート方向,1,カットボール,3,v53,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,古田島,4,シンカー方向,1,スローカーブ,2,v42,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,横山楓,3,フォーク方向,1,フォーク,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,横山楓,5,シュート方向,1,カットボール,1,v51,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,横山楓,4,シンカー方向,1,ナックルカーブ,1,v41,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 﨑,3,フォーク方向,1,フォーク,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 﨑,5,シュート方向,1,スライダー,2,v52,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 﨑,4,シンカー方向,1,ナックルカーブ,1,v41,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,ペルドモ,2,カーブ方向,1,シンキングスプリット,3,v23,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,ペルドモ,3,フォーク方向,1,スライダー,4,v34,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,椋 木,2,カーブ方向,1,シンキングスプリット,4,v24,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,椋 木,4,シンカー方向,1,スラーブ,3,v43,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,マチャド,2,カーブ方向,1,ファストチェンジ,4,v24,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,マチャド,5,シュート方向,1,スライダー,3,v53,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,田 嶋,1,スライダー方向,1,カットボール,1,v11,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,田 嶋,2,カーブ方向,1,スラーブ,4,v24,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,田 嶋,3,フォーク方向,1,カットボール,2,v32,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 下,3,フォーク方向,1,フォーク,4,v34,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 下,4,シンカー方向,1,パワーカーブ,5,v45,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 岡,3,フォーク方向,1,チェンジアップ,2,v32,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 岡,5,シュート方向,1,カットボール,1,v51,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 岡,4,シンカー方向,1,スライダー,5,v45,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,東,1,スライダー方向,1,シンキングツーシーム,2,v12,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,東,5,シュート方向,1,スライダー,3,v53,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,東,4,シンカー方向,1,ドロップカーブ,2,v42,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,ジェリー,2,カーブ方向,1,ファストチェンジ,3,v23,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,ジェリー,4,シンカー方向,1,スライダー,3,v43,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,齋 藤,3,フォーク方向,1,カットボール,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,齋 藤,5,シュート方向,1,カットボール,1,v51,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,齋 藤,4,シンカー方向,1,ドロップカーブ,2,v42,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,佐藤一,2,カーブ方向,1,スラーブ,3,v23,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,佐藤一,3,フォーク方向,1,フォーク,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,川 瀬,3,フォーク方向,1,チェンジアップ,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,川 瀬,5,シュート方向,1,スライダー,2,v52,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,川 瀬,4,シンカー方向,1,ドロップカーブ,2,v42,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 口,3,フォーク方向,1,フォーク,3,v33,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,山 口,5,シュート方向,1,スライダー,1,v51,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,藤 川,5,シュート方向,1,スライダー,2,v52,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,藤 川,4,シンカー方向,1,カーブ,2,v42,ok
buffaloes.zip:パワフルプロ野球2026-2027｜オリックスバファローズ｜デフォルト選手データ.html,オリックスバファローズ,森 陽,2,カーブ方向,1,シンキングスプリット,1,v21,ok
