データ,特殊能力,カテゴリ,出現数,出現率%
実在12球団,レーザービーム,青特,17,2.15
実在12球団,ロッテキラー,青特,2,0.25
実在12球団,ローボールヒッター,青特,10,1.27
実在12球団,中日キラー,青特,3,0.38
実在12球団,代打○,青特,4,0.51
実在12球団,低め○,青特,14,1.77
実在12球団,内角攻め,青特,65,8.23
実在12球団,内野安打○,青特,74,9.37
実在12球団,初球○,青特,37,4.68
実在12球団,力配分,青特,19,2.41
実在12球団,勝ち運,青特,9,1.14
実在12球団,回またぎ○,青特,47,5.95
実在12球団,固め打ち,青特,75,9.49
実在12球団,国際大会○,青特,6,0.76
実在12球団,夏男,青特,6,0.76
実在12球団,奪三振,青特,116,14.68
実在12球団,存在感,青特,8,1.01
実在12球団,守備職人,青特,11,1.39
実在12球団,対ストレート○,青特,23,2.91
実在12球団,対ランナー,青特,37,4.68
実在12球団,対ランナー○,青特,13,1.65
実在12球団,対変化球○,青特,10,1.27
実在12球団,尻上がり,青特,8,1.01
実在12球団,巨人キラー,青特,5,0.63
実在12球団,広島キラー,青特,2,0.25
実在12球団,広角打法,青特,29,3.67
実在12球団,悪球打ち,青特,18,2.28
実在12球団,意外性,青特,24,3.04
実在12球団,打球反応○,青特,33,4.18
実在12球団,春男,青特,7,0.89
実在12球団,楽天キラー,青特,3,0.38
実在12球団,死球集中,青特,34,4.3
実在12球団,決勝打,青特,51,6.46
実在12球団,流し打ち,青特,66,8.35
実在12球団,満塁男,青特,67,8.48
実在12球団,火消し,青特,1,0.13
実在12球団,牽制○,青特,56,7.09
実在12球団,球持ち○,青特,88,11.14
実在12球団,球速安定,青特,126,15.95
実在12球団,真っスラ,青特,33,4.18
実在12球団,秋男,青特,3,0.38
実在12球団,粘り打ち,青特,27,3.42
実在12球団,緊急登板○,青特,33,4.18
実在12球団,緩急○,青特,53,6.71
実在12球団,荒れ球,青特,44,5.57
実在12球団,西武キラー,青特,3,0.38
実在12球団,要所○,青特,18,2.28
実在12球団,逃げ球,青特,88,11.14
実在12球団,逆境○,青特,30,3.8
実在12球団,阪神キラー,青特,2,0.25
実在12球団,高速チャージ,青特,1,0.13
架空球団用,エラー,赤特,390,3.9
架空球団用,三振,赤特,370,3.7
架空球団用,四球,赤特,358,3.58
架空球団用,抜け球,赤特,346,3.46
架空球団用,乱調,赤特,337,3.37
架空球団用,回またぎ○,青特,327,3.27
架空球団用,尻上がり,青特,320,3.2
架空球団用,併殺,赤特,317,3.17
架空球団用,寸前,赤特,314,3.14
架空球団用,球速安定,青特,307,3.07
架空球団用,速球中心,緑特,302,3.02
架空球団用,スロースターター,赤特,302,3.02
架空球団用,牽制○,青特,301,3.01
架空球団用,窮地○,青特,299,2.99
架空球団用,積極守備,緑特,299,2.99
架空球団用,対変化球○,青特,298,2.98
架空球団用,ボール先行,赤特,290,2.9
架空球団用,逆境○,青特,288,2.88
架空球団用,立ち上がり○,青特,287,2.87
架空球団用,テンポ○,緑特,283,2.83
架空球団用,ナチュラルシュート,青特,279,2.79
架空球団用,要所○,青特,279,2.79
架空球団用,積極走塁,緑特,278,2.78
架空球団用,初球○,青特,277,2.77
架空球団用,負け運,赤特,274,2.74
架空球団用,代打○,青特,273,2.73
架空球団用,内野安打○,青特,273,2.73
架空球団用,真っスラ,青特,271,2.71
架空球団用,短気,赤特,269,2.69
架空球団用,変化球中心,緑特,269,2.69
架空球団用,緊急登板○,青特,268,2.68
架空球団用,バント○,青特,268,2.68
架空球団用,逃げ球,青特,261,2.61
架空球団用,対ランナー×,赤特,261,2.61
架空球団用,積極盗塁,緑特,259,2.59
架空球団用,打球反応○,青特,257,2.57
架空球団用,フル出場,緑特,256,2.56
架空球団用,流し打ち,青特,256,2.56
架空球団用,投手調子安定,緑特,255,2.55
架空球団用,強振多用,緑特,255,2.55
架空球団用,安全圏○,青特,251,2.51
架空球団用,対ストレート○,青特,250,2.5
架空球団用,固め打ち,青特,247,2.47
架空球団用,根性,青特,246,2.46
架空球団用,奪三振,青特,245,2.45
架空球団用,高速チャージ,青特,244,2.44
架空球団用,軽い球,赤特,243,2.43
架空球団用,ミート多用,緑特,242,2.42
架空球団用,重い球,青特,241,2.41
架空球団用,慎重盗塁,緑特,240,2.4
架空球団用,慎重打法,緑特,239,2.39
架空球団用,ストライク先行,青特,238,2.38
架空球団用,選球眼,緑特,238,2.38
架空球団用,ラインドライブ,青特,235,2.35
架空球団用,緩急○,青特,231,2.31
架空球団用,かく乱,青特,231,2.31
架空球団用,プレッシャーラン,青特,231,2.31
架空球団用,投打躍動,青特,230,2.3
架空球団用,積極打法,緑特,230,2.3
架空球団用,粘り打ち,青特,229,2.29
架空球団用,人気者,緑特,228,2.28
架空球団用,リベンジ,青特,228,2.28
架空球団用,ダメ押し,青特,228,2.28
架空球団用,野手調子安定,緑特,226,2.26
架空球団用,ヘッドスライディング,青特,223,2.23
架空球団用,チャンスメーカー,青特,221,2.21
架空球団用,荒れ球,青特,217,2.17
架空球団用,ローボールヒッター,青特,217,2.17
架空球団用,火消し,青特,216,2.16
架空球団用,サヨナラ男,青特,215,2.15
架空球団用,ホーム突入,青特,213,2.13
架空球団用,いぶし銀,青特,213,2.13
架空球団用,満塁男,青特,211,2.11
架空球団用,カット打ち,青特,210,2.1
架空球団用,勝ち運,青特,206,2.06
架空球団用,アウトコースヒッター,青特,206,2.06
架空球団用,対ランナー,青特,205,2.05
架空球団用,闘志,青特,203,2.03
架空球団用,ハイボールヒッター,青特,201,2.01
架空球団用,意外性,青特,199,1.99
架空球団用,帳尻合わせ,青特,198,1.98
架空球団用,一発,赤特,196,1.96
架空球団用,インコースヒッター,青特,196,1.96
架空球団用,マルチ弾,青特,195,1.95
架空球団用,プルヒッター,青特,187,1.87
架空球団用,キレ○,青特,186,1.86
架空球団用,リリース○,青特,176,1.76
架空球団用,ゴロピッチャー,青特,175,1.75
架空球団用,決勝打,青特,175,1.75
架空球団用,内角攻め,青特,171,1.71
架空球団用,国際大会○,青特,170,1.7
架空球団用,低め○,青特,154,1.54
架空球団用,球持ち○,青特,148,1.48
架空球団用,国際大会×,赤特,147,1.47
架空球団用,チームプレイ○,緑特,145,1.45
架空球団用,悪球打ち,青特,137,1.37
架空球団用,ポーカーフェイス,青特,134,1.34
架空球団用,ジャイロボール,青特,132,1.32
架空球団用,死球集中,青特,127,1.27
架空球団用,全開,青特,126,1.26
架空球団用,フライボールピッチャー,青特,124,1.24
架空球団用,力配分,青特,120,1.2
架空球団用,パワーヒッター,青特,120,1.2
架空球団用,レーザービーム,青特,120,1.2
架空球団用,広角打法,青特,107,1.07
架空球団用,バント職人,青特,107,1.07
架空球団用,対エース○,青特,103,1.03
架空球団用,対強打者○,青特,97,0.97
架空球団用,投球位置左,緑特,96,0.96
架空球団用,野手調子極端,緑特,93,0.93
架空球団用,投球位置右,緑特,92,0.92
架空球団用,ムード○,青特,90,0.9
架空球団用,チームプレイ×,緑特,90,0.9
架空球団用,投手調子極端,緑特,89,0.89
架空球団用,クロスファイヤー,青特,86,0.86
架空球団用,投手存在感,青特,85,0.85
架空球団用,野手存在感,青特,78,0.78
架空球団用,アベレージヒッター,青特,77,0.77
架空球団用,守備職人,青特,58,0.58
架空球団用,ムード×,赤特,43,0.43
架空球団用,ささやき破り,青特,41,0.41
架空球団用,ブロッキング,青特,37,0.37
架空球団用,フレーミング○,青特,35,0.35
架空球団用,ホーム死守,青特,26,0.26
架空球団用,フレーミング◎,青特,15,0.15
ドラフト候補用,三振,赤特,373,3.73
ドラフト候補用,エラー,赤特,358,3.58
ドラフト候補用,抜け球,赤特,318,3.18
ドラフト候補用,立ち上がり○,青特,291,2.91
ドラフト候補用,積極走塁,緑特,290,2.9
ドラフト候補用,寸前,赤特,285,2.85
ドラフト候補用,変化球中心,緑特,284,2.84
ドラフト候補用,負け運,赤特,280,2.8
ドラフト候補用,乱調,赤特,280,2.8
ドラフト候補用,速球中心,緑特,278,2.78
ドラフト候補用,慎重打法,緑特,266,2.66
ドラフト候補用,投手調子安定,緑特,264,2.64
ドラフト候補用,四球,赤特,264,2.64
ドラフト候補用,テンポ○,緑特,262,2.62
ドラフト候補用,強振多用,緑特,259,2.59
ドラフト候補用,併殺,赤特,258,2.58
ドラフト候補用,積極守備,緑特,255,2.55
ドラフト候補用,スロースターター,赤特,254,2.54
ドラフト候補用,野手調子安定,緑特,254,2.54
ドラフト候補用,要所○,青特,253,2.53
ドラフト候補用,積極盗塁,緑特,253,2.53
ドラフト候補用,逆境○,青特,251,2.51
ドラフト候補用,球速安定,青特,250,2.5
ドラフト候補用,ナチュラルシュート,青特,246,2.46
ドラフト候補用,尻上がり,青特,245,2.45
ドラフト候補用,積極打法,緑特,245,2.45
ドラフト候補用,ボール先行,赤特,244,2.44
ドラフト候補用,牽制○,青特,242,2.42
ドラフト候補用,回またぎ○,青特,241,2.41
ドラフト候補用,真っスラ,青特,241,2.41
ドラフト候補用,選球眼,緑特,240,2.4
ドラフト候補用,代打○,青特,238,2.38
ドラフト候補用,対変化球○,青特,237,2.37
ドラフト候補用,慎重盗塁,緑特,236,2.36
ドラフト候補用,荒れ球,青特,232,2.32
ドラフト候補用,短気,赤特,231,2.31
ドラフト候補用,フル出場,緑特,230,2.3
ドラフト候補用,人気者,緑特,229,2.29
ドラフト候補用,逃げ球,青特,224,2.24
ドラフト候補用,対ストレート○,青特,223,2.23
ドラフト候補用,バント○,青特,223,2.23
ドラフト候補用,安全圏○,青特,222,2.22
ドラフト候補用,対ランナー×,赤特,216,2.16
ドラフト候補用,窮地○,青特,216,2.16
ドラフト候補用,緊急登板○,青特,212,2.12
ドラフト候補用,ヘッドスライディング,青特,212,2.12
ドラフト候補用,固め打ち,青特,211,2.11
ドラフト候補用,ミート多用,緑特,211,2.11
ドラフト候補用,軽い球,赤特,210,2.1
ドラフト候補用,打球反応○,青特,208,2.08
ドラフト候補用,流し打ち,青特,208,2.08
ドラフト候補用,重い球,青特,204,2.04
ドラフト候補用,プレッシャーラン,青特,204,2.04
ドラフト候補用,根性,青特,203,2.03
ドラフト候補用,国際大会○,青特,199,1.99
ドラフト候補用,チャンスメーカー,青特,198,1.98
ドラフト候補用,内野安打○,青特,198,1.98
ドラフト候補用,一発,赤特,197,1.97
ドラフト候補用,粘り打ち,青特,196,1.96
ドラフト候補用,意外性,青特,196,1.96
ドラフト候補用,高速チャージ,青特,192,1.92
ドラフト候補用,いぶし銀,青特,191,1.91
ドラフト候補用,初球○,青特,188,1.88
ドラフト候補用,緩急○,青特,187,1.87
ドラフト候補用,かく乱,青特,187,1.87
ドラフト候補用,ローボールヒッター,青特,187,1.87
ドラフト候補用,対ランナー,青特,183,1.83
ドラフト候補用,奪三振,青特,181,1.81
ドラフト候補用,ダメ押し,青特,181,1.81
ドラフト候補用,投打躍動,青特,180,1.8
ドラフト候補用,ラインドライブ,青特,178,1.78
ドラフト候補用,決勝打,青特,176,1.76
ドラフト候補用,リベンジ,青特,175,1.75
ドラフト候補用,帳尻合わせ,青特,174,1.74
ドラフト候補用,アウトコースヒッター,青特,171,1.71
ドラフト候補用,リリース○,青特,165,1.65
ドラフト候補用,ホーム突入,青特,165,1.65
ドラフト候補用,火消し,青特,163,1.63
ドラフト候補用,闘志,青特,163,1.63
ドラフト候補用,勝ち運,青特,160,1.6
ドラフト候補用,インコースヒッター,青特,158,1.58
ドラフト候補用,チームプレイ○,緑特,158,1.58
ドラフト候補用,カット打ち,青特,158,1.58
ドラフト候補用,マルチ弾,青特,157,1.57
ドラフト候補用,ハイボールヒッター,青特,155,1.55
ドラフト候補用,ストライク先行,青特,150,1.5
ドラフト候補用,国際大会×,赤特,145,1.45
ドラフト候補用,ゴロピッチャー,青特,143,1.43
ドラフト候補用,キレ○,青特,142,1.42
ドラフト候補用,プルヒッター,青特,141,1.41
ドラフト候補用,満塁男,青特,139,1.39
ドラフト候補用,サヨナラ男,青特,135,1.35
ドラフト候補用,低め○,青特,130,1.3
ドラフト候補用,悪球打ち,青特,115,1.15
ドラフト候補用,ポーカーフェイス,青特,112,1.12
ドラフト候補用,野手調子極端,緑特,112,1.12
ドラフト候補用,投球位置左,緑特,109,1.09
ドラフト候補用,内角攻め,青特,108,1.08
ドラフト候補用,全開,青特,107,1.07
ドラフト候補用,球持ち○,青特,104,1.04
ドラフト候補用,死球集中,青特,101,1.01
ドラフト候補用,バント職人,青特,98,0.98
ドラフト候補用,ジャイロボール,青特,96,0.96
ドラフト候補用,フライボールピッチャー,青特,96,0.96
ドラフト候補用,チームプレイ×,緑特,94,0.94
ドラフト候補用,力配分,青特,93,0.93
ドラフト候補用,レーザービーム,青特,93,0.93
ドラフト候補用,ムード○,青特,91,0.91
ドラフト候補用,クロスファイヤー,青特,87,0.87
ドラフト候補用,投球位置右,緑特,86,0.86
ドラフト候補用,広角打法,青特,80,0.8
ドラフト候補用,対強打者○,青特,78,0.78
ドラフト候補用,対エース○,青特,77,0.77
ドラフト候補用,投手調子極端,緑特,76,0.76
ドラフト候補用,パワーヒッター,青特,72,0.72
ドラフト候補用,投手存在感,青特,65,0.65
ドラフト候補用,野手存在感,青特,62,0.62
ドラフト候補用,ムード×,赤特,51,0.51
ドラフト候補用,ホーム死守,青特,45,0.45
ドラフト候補用,ブロッキング,青特,38,0.38
ドラフト候補用,アベレージヒッター,青特,36,0.36
ドラフト候補用,フレーミング○,青特,29,0.29
ドラフト候補用,ささやき破り,青特,27,0.27
ドラフト候補用,守備職人,青特,18,0.18
ドラフト候補用,フレーミング◎,青特,17,0.17
助っ人外国人用,国際大会○,青特,501,5.01
助っ人外国人用,エラー,赤特,434,4.34
助っ人外国人用,三振,赤特,429,4.29
助っ人外国人用,国際大会×,赤特,414,4.14
助っ人外国人用,速球中心,緑特,408,4.08
助っ人外国人用,乱調,赤特,405,4.05
助っ人外国人用,立ち上がり○,青特,394,3.94
助っ人外国人用,変化球中心,緑特,384,3.84
助っ人外国人用,初球○,青特,383,3.83
助っ人外国人用,人気者,緑特,366,3.66
助っ人外国人用,四球,赤特,365,3.65
助っ人外国人用,積極盗塁,緑特,360,3.6
助っ人外国人用,バント○,青特,359,3.59
助っ人外国人用,球速安定,青特,357,3.57
助っ人外国人用,野手調子安定,緑特,354,3.54
助っ人外国人用,真っスラ,青特,351,3.51
助っ人外国人用,積極走塁,緑特,351,3.51
助っ人外国人用,ナチュラルシュート,青特,350,3.5
助っ人外国人用,牽制○,青特,348,3.48
助っ人外国人用,安全圏○,青特,344,3.44
助っ人外国人用,強振多用,緑特,344,3.44
助っ人外国人用,代打○,青特,342,3.42
助っ人外国人用,抜け球,赤特,341,3.41
助っ人外国人用,スロースターター,赤特,340,3.4
助っ人外国人用,投手調子安定,緑特,340,3.4
助っ人外国人用,積極打法,緑特,340,3.4
助っ人外国人用,慎重打法,緑特,335,3.35
助っ人外国人用,緊急登板○,青特,334,3.34
助っ人外国人用,テンポ○,緑特,332,3.32
助っ人外国人用,逆境○,青特,332,3.32
助っ人外国人用,要所○,青特,331,3.31
助っ人外国人用,重い球,青特,328,3.28
助っ人外国人用,窮地○,青特,327,3.27
助っ人外国人用,サヨナラ男,青特,327,3.27
助っ人外国人用,選球眼,緑特,327,3.27
助っ人外国人用,プルヒッター,青特,321,3.21
助っ人外国人用,積極守備,緑特,318,3.18
助っ人外国人用,流し打ち,青特,318,3.18
助っ人外国人用,負け運,赤特,317,3.17
助っ人外国人用,併殺,赤特,317,3.17
助っ人外国人用,対ストレート○,青特,317,3.17
助っ人外国人用,内野安打○,青特,317,3.17
助っ人外国人用,固め打ち,青特,317,3.17
助っ人外国人用,マルチ弾,青特,315,3.15
助っ人外国人用,回またぎ○,青特,313,3.13
助っ人外国人用,フル出場,緑特,312,3.12
助っ人外国人用,対変化球○,青特,311,3.11
助っ人外国人用,慎重盗塁,緑特,304,3.04
助っ人外国人用,ボール先行,赤特,303,3.03
助っ人外国人用,ミート多用,緑特,300,3.0
助っ人外国人用,粘り打ち,青特,298,2.98
助っ人外国人用,打球反応○,青特,297,2.97
助っ人外国人用,満塁男,青特,295,2.95
助っ人外国人用,逃げ球,青特,293,2.93
助っ人外国人用,奪三振,青特,291,2.91
助っ人外国人用,短気,赤特,286,2.86
助っ人外国人用,寸前,赤特,281,2.81
助っ人外国人用,尻上がり,青特,279,2.79
助っ人外国人用,根性,青特,274,2.74
助っ人外国人用,決勝打,青特,268,2.68
助っ人外国人用,ホーム突入,青特,263,2.63
助っ人外国人用,プレッシャーラン,青特,261,2.61
助っ人外国人用,いぶし銀,青特,259,2.59
助っ人外国人用,帳尻合わせ,青特,257,2.57
助っ人外国人用,高速チャージ,青特,254,2.54
助っ人外国人用,インコースヒッター,青特,254,2.54
助っ人外国人用,ヘッドスライディング,青特,253,2.53
助っ人外国人用,チームプレイ○,緑特,250,2.5
助っ人外国人用,闘志,青特,246,2.46
助っ人外国人用,投打躍動,青特,245,2.45
助っ人外国人用,カット打ち,青特,245,2.45
助っ人外国人用,ローボールヒッター,青特,245,2.45
助っ人外国人用,意外性,青特,244,2.44
助っ人外国人用,ダメ押し,青特,244,2.44
助っ人外国人用,対ランナー×,赤特,243,2.43
助っ人外国人用,かく乱,青特,241,2.41
助っ人外国人用,ラインドライブ,青特,240,2.4
助っ人外国人用,火消し,青特,238,2.38
助っ人外国人用,リベンジ,青特,238,2.38
助っ人外国人用,対ランナー,青特,236,2.36
助っ人外国人用,勝ち運,青特,230,2.3
助っ人外国人用,ハイボールヒッター,青特,227,2.27
助っ人外国人用,アウトコースヒッター,青特,226,2.26
助っ人外国人用,荒れ球,青特,224,2.24
助っ人外国人用,緩急○,青特,218,2.18
助っ人外国人用,チャンスメーカー,青特,217,2.17
助っ人外国人用,ストライク先行,青特,212,2.12
助っ人外国人用,リリース○,青特,205,2.05
助っ人外国人用,キレ○,青特,198,1.98
助っ人外国人用,軽い球,赤特,196,1.96
助っ人外国人用,ムード○,青特,195,1.95
助っ人外国人用,ゴロピッチャー,青特,190,1.9
助っ人外国人用,一発,赤特,186,1.86
助っ人外国人用,低め○,青特,186,1.86
助っ人外国人用,パワーヒッター,青特,182,1.82
助っ人外国人用,ジャイロボール,青特,174,1.74
助っ人外国人用,レーザービーム,青特,172,1.72
助っ人外国人用,投球位置左,緑特,168,1.68
助っ人外国人用,チームプレイ×,緑特,165,1.65
助っ人外国人用,内角攻め,青特,163,1.63
助っ人外国人用,投球位置右,緑特,162,1.62
助っ人外国人用,死球集中,青特,162,1.62
助っ人外国人用,広角打法,青特,159,1.59
助っ人外国人用,投手調子極端,緑特,158,1.58
助っ人外国人用,野手調子極端,緑特,156,1.56
助っ人外国人用,ポーカーフェイス,青特,152,1.52
助っ人外国人用,球持ち○,青特,151,1.51
助っ人外国人用,フライボールピッチャー,青特,151,1.51
助っ人外国人用,バント職人,青特,146,1.46
助っ人外国人用,悪球打ち,青特,145,1.45
助っ人外国人用,野手存在感,青特,142,1.42
助っ人外国人用,全開,青特,136,1.36
助っ人外国人用,力配分,青特,135,1.35
助っ人外国人用,ムード×,赤特,129,1.29
助っ人外国人用,対エース○,青特,126,1.26
助っ人外国人用,クロスファイヤー,青特,117,1.17
助っ人外国人用,対強打者○,青特,101,1.01
助っ人外国人用,投手存在感,青特,87,0.87
助っ人外国人用,アベレージヒッター,青特,59,0.59
助っ人外国人用,守備職人,青特,54,0.54
助っ人外国人用,ホーム死守,青特,34,0.34
助っ人外国人用,ささやき破り,青特,31,0.31
助っ人外国人用,ブロッキング,青特,29,0.29
助っ人外国人用,フレーミング○,青特,25,0.25
助っ人外国人用,フレーミング◎,青特,7,0.07
