source,team,name,throws_bats,source_direction_code,logical_direction_code,direction_code,direction,slot,raw_pitch_type,pitch_type,canonical_pitch_type,movement,source_class,status,kind,raw_text,normalized_text,raw_neighbor_text,detail
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,ルイーズ,右投右打,,,,ストレート系第二種,,ツーシームファスト,ツーシームファスト,ツーシームファスト,0,,second_fastball,second_fastball,158 46 44 ストレート / / サークルチェンジ / ツーシームファスト / / パワーカーブ /,158 46 44 ストレート / / サークルチェンジ / ツーシームファスト / / パワーカーブ /,158 46 44 ストレート / / サークルチェンジ / ツーシームファスト / / パワーカーブ /,投手能力ブロック全体から検出
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,右投左打,2,4,4,シンカー方向,1,ファストチェンジ,ファストチェンジ,ファストチェンジ,1,v21,ok,breaking,/ ファストチェンジ /,/ ファストチェンジ /,"class=""c1 w""> 159 43 41 ストレート / / ファストチェンジ / Ｈスライダー / スライダー / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,右投左打,5,1,1,スライダー方向,1,Hスライダー,Hスライダー,Hスライダー,2,v524,ok,breaking,Ｈスライダー スライダー,Hスライダー スライダー,41 ストレート / / ファストチェンジ / Ｈスライダー / スライダー / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,レイノルズ,右投左打,5,1,1,スライダー方向,2,スライダー,スライダー,スライダー,4,v524,ok,breaking,Ｈスライダー スライダー,Hスライダー スライダー,41 ストレート / / ファストチェンジ / Ｈスライダー / スライダー / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,右投右打,1,5,5,シュート方向,1,シンキングツーシーム,シンキングツーシーム,シンキングツーシーム,1,v11,ok,breaking,シンキングツーシーム /,シンキングツーシーム /,157 40 54 ストレート シンキングツーシーム / / / カットボール / / パワーカーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,右投右打,5,1,1,スライダー方向,1,カットボール,カットボール,カットボール,2,v52,ok,breaking,カットボール /,カットボール /,"b class=""c1""> ストレート シンキングツーシーム / / / カットボール / / パワーカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,島 田,右投右打,4,2,2,カーブ方向,1,パワーカーブ,パワーカーブ,パワーカーブ,2,v42,ok,breaking,/ パワーカーブ /,/ パワーカーブ /,"lass=""v11""> シンキングツーシーム / / / カットボール / / パワーカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,左投左打,1,1,1,スライダー方向,1,カットボール,カットボール,カットボール,2,v12,ok,breaking,カットボール /,カットボール /,148 68 60 ストレート カットボール / / スローカーブ / チェンジアップ / / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,左投左打,2,2,2,カーブ方向,1,スローカーブ,スローカーブ,スローカーブ,1,v21,ok,breaking,/ スローカーブ /,/ スローカーブ /,/b> 148 68 60 ストレート カットボール / / スローカーブ / チェンジアップ / / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,片 山,左投左打,3,3,3,フォーク方向,1,チェンジアップ,チェンジアップ,チェンジアップ,3,v33,ok,breaking,,,"lass=""c"">60 ストレート カットボール / / スローカーブ / チェンジアップ / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,右投右打,2,4,4,シンカー方向,1,Hシンカー,Hシンカー,Hシンカー,1,v21,ok,breaking,/ Ｈシンカー /,/ Hシンカー /,"class=""c1 w""> 149 69 65 ストレート / / Ｈシンカー / ＳＦＦ スライダー / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,右投右打,3,3,3,フォーク方向,1,SFF,SFF,SFF,5,v35,ok,breaking,,,"lass=""c3 w""> 65 ストレート / / Ｈシンカー / ＳＦＦ スライダー / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,大 貫,右投右打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,3,v53,ok,breaking,スライダー /,スライダー /,"class=""bl w""> ストレート / / Ｈシンカー / ＳＦＦ スライダー / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,右投右打,2,4,4,シンカー方向,1,シンキングスプリット,シンキングスプリット,シンキングスプリット,3,v23,ok,breaking,/ シンキングスプリット /,/ シンキングスプリット /,"class=""c1 w""> 153 65 53 ストレート / / シンキングスプリット / フォーク / / ナックルカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,右投右打,3,3,3,フォーク方向,1,フォーク,フォーク,フォーク,5,v35,ok,breaking,,,"c3 w""> 53 ストレート / / シンキングスプリット / フォーク / / ナックルカーブ /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,中川虎,右投右打,4,2,2,カーブ方向,1,ナックルカーブ,ナックルカーブ,ナックルカーブ,1,v41,ok,breaking,/ ナックルカーブ /,/ ナックルカーブ /,"class=""c1""> ストレート / / シンキングスプリット / フォーク / / ナックルカーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,森 原,右投左打,3,3,3,フォーク方向,1,SFF,SFF,SFF,3,v33,ok,breaking,,,"c"">60 46 ストレート / / / ＳＦＦ Ｈスライダー / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,森 原,右投左打,5,1,1,スライダー方向,1,Hスライダー,Hスライダー,Hスライダー,2,v52,ok,breaking,Ｈスライダー /,Hスライダー /,"=""e"">46 ストレート / / / ＳＦＦ Ｈスライダー / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,右投右打,3,3,3,フォーク方向,1,フォーク,フォーク,フォーク,2,v32,ok,breaking,,,""">54 58 ストレート / / / フォーク カットボール / / カーブ /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,右投右打,5,1,1,スライダー方向,1,カットボール,カットボール,カットボール,3,v53,ok,breaking,カットボール /,カットボール /,"""d"">58 ストレート / / / フォーク カットボール / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,吉 野,右投右打,4,2,2,カーブ方向,1,カーブ,カーブ,カーブ,1,v41,ok,breaking,/ カーブ /,/ カーブ /,> ストレート / / / フォーク カットボール / / カーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,右投右打,2,4,4,シンカー方向,1,Hシンカー,Hシンカー,Hシンカー,2,v22,ok,breaking,/ Ｈシンカー /,/ Hシンカー /,"class=""c1 w""> 149 49 50 ストレート / / Ｈシンカー / ＳＦＦ カットボール / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,右投右打,3,3,3,フォーク方向,1,SFF,SFF,SFF,3,v33,ok,breaking,,,"lass=""c3 w""> 50 ストレート / / Ｈシンカー / ＳＦＦ カットボール / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,小 園,右投右打,5,1,1,スライダー方向,1,カットボール,カットボール,カットボール,1,v51,ok,breaking,カットボール /,カットボール /,"class=""bl w""> ストレート / / Ｈシンカー / ＳＦＦ カットボール / / /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,藤 浪,右投右打,3,3,3,フォーク方向,1,SFF,SFF,SFF,3,v33,ok,breaking,,,""">22 65 ストレート / / / ＳＦＦ ツーシームファスト スライダー / / /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,藤 浪,右投右打,5,1,1,スライダー方向,1,スライダー,スライダー,スライダー,3,v53,ok,breaking,スライダー /,スライダー /,> ストレート / / / ＳＦＦ ツーシームファスト スライダー / / /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,藤 浪,右投右打,,,,ストレート系第二種,,ツーシームファスト,ツーシームファスト,ツーシームファスト,0,,second_fastball,second_fastball,157 22 65 ストレート / / / ＳＦＦ ツーシームファスト スライダー / / /,157 22 65 ストレート / / / SFF ツーシームファスト スライダー / / /,157 22 65 ストレート / / / ＳＦＦ ツーシームファスト スライダー / / /,投手能力ブロック全体から検出
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,右投左打,3,3,3,フォーク方向,1,SFF,SFF,SFF,2,v32,ok,breaking,,,"f"">38 64 ストレート / / / ＳＦＦ Ｈスライダー / / カーブ /",raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,右投左打,5,1,1,スライダー方向,1,Hスライダー,Hスライダー,Hスライダー,4,v54,ok,breaking,Ｈスライダー /,Hスライダー /,"=""c"">64 ストレート / / / ＳＦＦ Ｈスライダー / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,篠 木,右投左打,4,2,2,カーブ方向,1,カーブ,カーブ,カーブ,1,v41,ok,breaking,/ カーブ /,/ カーブ /,"""> ストレート / / / ＳＦＦ Ｈスライダー / / カーブ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,左投左打,1,1,1,スライダー方向,1,カットボール,カットボール,カットボール,3,v13,ok,breaking,カットボール /,カットボール /,147 65 59 ストレート カットボール / / スローカーブ / / / サークルチェンジ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,左投左打,2,2,2,カーブ方向,1,スローカーブ,スローカーブ,スローカーブ,1,v21,ok,breaking,/ スローカーブ /,/ スローカーブ /,/b> 147 65 59 ストレート カットボール / / スローカーブ / / / サークルチェンジ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,石田健,左投左打,4,4,4,シンカー方向,1,サークルチェンジ,サークルチェンジ,サークルチェンジ,4,v44,ok,breaking,/ サークルチェンジ /,/ サークルチェンジ /,"b class=""c1""> ストレート カットボール / / スローカーブ / / / サークルチェンジ /",raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 口,右投右打,1,5,5,シュート方向,1,シンキングツーシーム,シンキングツーシーム,シンキングツーシーム,2,v12,ok,breaking,シンキングツーシーム /,シンキングツーシーム /,153 58 48 ストレート シンキングツーシーム / / / Ｖスライダー / / ドロップカーブ /,raw_textから投げ手補正後の方向一致候補を採用
baystars.zip:パワフルプロ野球2026-2027｜横浜DeNAベイスターズ｜デフォルト選手データ.html,横浜DeNAベイスターズ,坂 口,右投右打,3,3,3,フォーク方向,1,Vスライダー,Vスライダー,Vスライダー,2,v32,ok,breaking,,,8 ストレート シンキングツーシーム / / / Ｖスライダー / / ドロップカーブ /,raw_text/neighbor_textから投げ手補正後の方向一致候補を採用
